Time_ms,Gaze_X,Gaze_Y,Pupil_L,Pupil_R,Face_ID,Tipo_Estimulo,Emocao,Fase_Estimulo,AOI_Olho_Esquerdo,AOI_Olho_Direito,AOI_Ambos_Olhos,AOI_Nariz,AOI_Boca,AOI_Triangulo,AOI_Rosto,AOI_Fora
0,342,1056,-1.0,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
33,385,1027,4.94,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
67,378,1077,-1.0,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
83,380,1067,4.62,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
133,378,1058,4.62,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
416,490,771,4.7,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
449,498,773,4.68,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
466,534,684,4.81,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
482,519,704,4.78,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
499,521,714,4.75,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
516,523,707,4.78,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
532,541,682,4.81,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
549,543,662,7.09,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
566,537,679,4.86,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
582,528,707,4.88,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
599,530,696,4.88,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
615,568,698,4.88,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
632,666,755,4.88,3.85,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
649,832,777,4.86,4.12,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
665,925,844,4.68,4.11,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
682,1032,890,4.6,4.3,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
699,1086,954,4.76,4.41,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
715,1070,966,4.41,4.43,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
732,967,1025,4.28,4.4,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
749,1139,952,4.44,4.4,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
765,365,535,0.0,4.48,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
782,374,533,0.0,4.49,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
798,369,528,0.0,4.44,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
815,394,553,0.0,4.43,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
832,354,487,0.0,4.38,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
848,380,537,0.0,4.51,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
865,397,563,0.0,4.56,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
882,389,541,0.0,4.49,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
898,402,575,0.0,4.48,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
915,382,524,0.0,4.48,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1664,724,316,0.0,2.71,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1680,716,283,0.0,2.61,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1697,720,284,0.0,2.65,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1713,707,258,0.0,2.6,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
