Time (ms),Timegap (ms),Gaze X,Gaze Y,Pupil_Size,AOI,Time_Normalized (ms),Face_ID,Tipo_Estimulo,Emocao,Tempo_Interno_Bloco,Fase_Estimulo
0,0,628,797,0.0,0,0,1,Humano,Feliz,0,Janela_Baseline
17,17,620,804,0.0,0,17,1,Humano,Feliz,17,Janela_Baseline
50,33,1723,782,-1.0,0,50,1,Humano,Feliz,50,Janela_Baseline
83,33,621,808,0.0,0,83,1,Humano,Feliz,83,Janela_Baseline
100,17,623,821,0.0,0,100,1,Humano,Feliz,100,Janela_Baseline
116,17,622,790,0.0,0,116,1,Humano,Feliz,116,Janela_Baseline
133,17,1638,806,-1.0,0,133,1,Humano,Feliz,133,Janela_Baseline
150,17,620,816,0.0,0,150,1,Humano,Feliz,150,Janela_Baseline
166,17,621,805,0.0,0,166,1,Humano,Feliz,166,Janela_Baseline
183,17,614,813,0.0,0,183,1,Humano,Feliz,183,Janela_Baseline
200,17,620,811,0.0,0,200,1,Humano,Feliz,200,Janela_Baseline
216,17,626,811,0.0,0,216,1,Humano,Feliz,216,Janela_Baseline
233,17,623,807,0.0,0,233,1,Humano,Feliz,233,Janela_Baseline
250,17,614,815,0.0,0,250,1,Humano,Feliz,250,Janela_Baseline
266,17,626,817,0.0,0,266,1,Humano,Feliz,266,Janela_Baseline
283,17,621,815,0.0,0,283,1,Humano,Feliz,283,Janela_Baseline
299,17,622,825,0.0,0,299,1,Humano,Feliz,299,Janela_Baseline
316,17,615,818,0.0,0,316,1,Humano,Feliz,316,Janela_Baseline
333,17,621,807,0.0,0,333,1,Humano,Feliz,333,Janela_Baseline
349,17,631,827,0.0,0,349,1,Humano,Feliz,349,Janela_Baseline
366,17,624,822,0.0,0,366,1,Humano,Feliz,366,Janela_Baseline
399,33,1656,502,-1.0,0,399,1,Humano,Feliz,399,Janela_Baseline
466,67,1311,1054,-1.0,0,466,1,Humano,Feliz,466,Janela_Baseline
482,17,1728,432,-1.0,0,482,1,Humano,Feliz,482,Janela_Baseline
499,17,1733,534,-1.0,0,499,1,Humano,Feliz,499,Janela_Baseline
532,33,1852,420,-1.0,0,532,1,Humano,Feliz,532,Janela_Baseline
566,33,515,985,0.0,0,566,1,Humano,Feliz,566,Janela_Baseline
582,17,514,975,0.0,0,582,1,Humano,Feliz,582,Janela_Baseline
599,17,525,901,0.0,0,599,1,Humano,Feliz,599,Janela_Baseline
632,33,524,921,0.0,0,632,1,Humano,Feliz,632,Janela_Baseline
649,17,521,872,0.0,0,649,1,Humano,Feliz,649,Janela_Baseline
665,17,516,900,0.0,0,665,1,Humano,Feliz,665,Janela_Baseline
682,17,511,898,0.0,0,682,1,Humano,Feliz,682,Janela_Baseline
715,33,518,900,0.0,0,715,1,Humano,Feliz,715,Janela_Baseline
732,17,515,900,0.0,0,732,1,Humano,Feliz,732,Janela_Baseline
749,17,523,903,0.0,0,749,1,Humano,Feliz,749,Janela_Baseline
782,33,523,897,0.0,0,782,1,Humano,Feliz,782,Janela_Baseline
798,17,525,905,0.0,0,798,1,Humano,Feliz,798,Janela_Baseline
815,17,516,907,0.0,0,815,1,Humano,Feliz,815,Janela_Baseline
832,17,518,909,0.0,0,832,1,Humano,Feliz,832,Janela_Baseline
865,33,517,892,0.0,0,865,1,Humano,Feliz,865,Janela_Baseline
915,50,508,900,0.0,0,915,1,Humano,Feliz,915,Janela_Baseline
932,17,520,902,0.0,0,932,1,Humano,Feliz,932,Janela_Baseline
948,17,524,902,0.0,0,948,1,Humano,Feliz,948,Janela_Baseline
965,17,518,910,0.0,0,965,1,Humano,Feliz,965,Janela_Baseline
981,17,525,909,0.0,0,981,1,Humano,Feliz,981,Janela_Baseline
998,17,524,902,0.0,0,998,1,Humano,Feliz,998,Janela_Baseline
1015,17,519,909,0.0,0,1015,1,Humano,Feliz,1015,Janela_Baseline
