Time_ms,Gaze_X,Gaze_Y,Pupil_L,Pupil_R,Face_ID,Tipo_Estimulo,Emocao,Fase_Estimulo,AOI_Olho_Esquerdo,AOI_Olho_Direito,AOI_Ambos_Olhos,AOI_Nariz,AOI_Boca,AOI_Triangulo,AOI_Rosto,AOI_Fora
0,362,937,4.01,3.96,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
17,373,930,3.95,3.91,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
33,413,931,3.95,3.99,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
50,462,932,4.04,3.98,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
67,476,928,3.99,3.98,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
83,484,947,5.05,4.09,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
100,469,821,3.99,3.93,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
116,476,863,4.06,4.03,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
133,483,943,3.99,4.07,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
150,476,936,4.04,4.09,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
166,458,909,4.09,4.03,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
183,486,954,4.11,4.04,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
200,457,930,4.03,4.04,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
216,481,966,4.11,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
233,495,937,4.04,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
250,461,914,4.01,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
266,495,929,4.09,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
