Time_ms,Gaze_X,Gaze_Y,Pupil_L,Pupil_R,Face_ID,Tipo_Estimulo,Emocao,Fase_Estimulo,AOI_Olho_Esquerdo,AOI_Olho_Direito,AOI_Ambos_Olhos,AOI_Nariz,AOI_Boca,AOI_Triangulo,AOI_Rosto,AOI_Fora
0,1017,963,4.36,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
33,726,762,6.06,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
50,791,559,5.98,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,True,True,False
67,772,427,6.13,0.0,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
83,775,304,6.06,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
100,766,256,6.06,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
116,769,252,6.05,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1098,437,98,0.0,5.89,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1115,439,76,0.0,5.82,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1131,434,66,0.0,5.81,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1148,439,107,0.0,5.78,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1164,435,96,0.0,5.69,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1181,435,68,0.0,5.73,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1198,440,76,0.0,5.61,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1214,471,113,0.0,5.58,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1231,473,105,0.0,5.44,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1248,472,137,0.0,5.42,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1264,474,137,0.0,5.39,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1281,474,137,0.0,5.37,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1298,476,156,0.0,5.36,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1314,470,108,0.0,5.28,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1331,471,106,0.0,5.17,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1347,474,147,0.0,5.21,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1364,470,131,0.0,5.13,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1381,473,130,0.0,5.1,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1397,475,111,0.0,5.01,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1414,473,160,0.0,5.07,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1431,470,136,0.0,4.91,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1447,472,132,0.0,4.86,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1464,467,150,0.0,4.89,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
1481,465,133,0.0,4.8,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1497,469,133,0.0,4.78,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1514,471,136,0.0,4.65,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1530,475,121,0.0,4.68,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1547,470,130,0.0,4.64,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1564,468,117,0.0,4.54,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1580,464,129,0.0,4.6,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1597,465,110,0.0,4.52,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1614,467,110,0.0,4.48,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1630,489,102,0.0,4.44,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1647,534,102,0.0,4.44,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1664,557,109,0.0,4.46,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1680,547,91,0.0,4.36,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1697,536,64,0.0,4.3,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1713,556,95,0.0,4.32,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1730,544,68,0.0,4.24,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1747,554,87,0.0,4.32,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1763,561,84,0.0,4.25,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1780,533,97,0.0,4.24,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1797,545,87,0.0,4.27,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1813,534,92,0.0,4.22,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1830,556,84,0.0,4.2,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1846,533,84,0.0,4.12,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1863,528,67,0.0,4.14,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1880,531,74,0.0,4.07,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1896,555,82,0.0,4.14,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1913,533,93,0.0,4.12,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1930,479,75,0.0,4.07,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1946,445,92,0.0,4.09,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1963,449,82,0.0,4.07,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1980,447,77,0.0,4.04,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
1996,451,82,0.0,4.04,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
2013,453,74,0.0,4.04,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
2029,447,95,0.0,4.11,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,False,True
2046,452,92,0.0,3.98,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,False,True
2063,449,75,0.0,4.06,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,False,True
2079,457,66,0.0,4.01,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,False,True
2096,447,56,0.0,4.01,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,False,True
2113,456,77,0.0,3.99,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,False,True
2129,509,226,3.88,4.06,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2146,521,220,3.87,4.04,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2163,510,215,3.93,4.09,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2179,523,228,4.01,4.06,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2196,526,219,3.99,4.12,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2212,516,220,3.99,4.14,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2229,508,233,4.03,4.19,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2246,517,210,4.06,4.2,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2262,508,232,4.06,4.25,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2279,507,236,4.07,4.22,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2296,510,245,4.14,4.25,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2312,519,240,4.12,4.33,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2329,508,212,4.11,4.38,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2346,517,226,4.17,4.33,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2362,515,242,4.22,4.41,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2379,514,225,4.19,4.4,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2395,520,231,4.2,4.43,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2412,527,236,4.25,4.41,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2429,536,240,4.25,4.49,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2445,539,234,4.28,4.51,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2462,545,228,4.28,4.46,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2479,545,228,4.27,4.52,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2495,530,228,4.27,4.59,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2512,547,246,4.33,4.57,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2529,531,241,4.38,4.46,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2545,544,246,4.33,4.56,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2562,523,260,4.36,4.59,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2578,532,258,4.41,4.62,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2595,530,232,4.36,4.59,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2612,522,235,4.43,4.64,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2628,526,239,4.43,4.62,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2645,539,248,4.41,4.57,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2662,536,243,4.48,4.64,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2678,534,256,4.54,4.64,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2695,539,243,4.44,4.67,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2712,536,267,4.59,4.7,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2728,536,256,4.51,4.72,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2745,533,243,4.51,4.67,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2761,539,234,4.49,4.78,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2778,529,263,4.51,4.73,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2795,541,237,4.52,4.76,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2811,524,247,4.56,4.76,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2828,536,253,4.56,4.83,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2845,534,260,4.56,4.73,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
2861,527,243,4.68,4.73,1,Humano,Feliz,Janela_Baseline,False,False,False,False,False,False,True,False
