Time (ms),Timegap (ms),Gaze X,Gaze Y,Pupil_Size,AOI,Time_Normalized (ms),Face_ID,Tipo_Estimulo,Emocao,Tempo_Interno_Bloco,Fase_Estimulo
0,0,501,355,4.19,0,0,1,Humano,Feliz,0,Janela_Baseline
17,17,513,353,4.25,0,17,1,Humano,Feliz,17,Janela_Baseline
33,17,504,366,4.22,0,33,1,Humano,Feliz,33,Janela_Baseline
50,17,510,374,4.3,0,50,1,Humano,Feliz,50,Janela_Baseline
67,17,508,358,4.24,0,67,1,Humano,Feliz,67,Janela_Baseline
83,17,510,364,4.25,0,83,1,Humano,Feliz,83,Janela_Baseline
100,17,504,378,4.28,0,100,1,Humano,Feliz,100,Janela_Baseline
116,17,510,355,4.35,0,116,1,Humano,Feliz,116,Janela_Baseline
133,17,502,362,4.33,0,133,1,Humano,Feliz,133,Janela_Baseline
150,17,509,358,4.32,0,150,1,Humano,Feliz,150,Janela_Baseline
166,17,517,336,4.4,0,166,1,Humano,Feliz,166,Janela_Baseline
183,17,518,340,4.35,0,183,1,Humano,Feliz,183,Janela_Baseline
200,17,497,361,4.36,0,200,1,Humano,Feliz,200,Janela_Baseline
216,17,507,353,4.35,0,216,1,Humano,Feliz,216,Janela_Baseline
233,17,503,369,4.4,0,233,1,Humano,Feliz,233,Janela_Baseline
250,17,507,366,4.38,0,250,1,Humano,Feliz,250,Janela_Baseline
266,17,501,361,4.32,0,266,1,Humano,Feliz,266,Janela_Baseline
283,17,509,354,4.35,0,283,1,Humano,Feliz,283,Janela_Baseline
299,17,513,344,4.38,0,299,1,Humano,Feliz,299,Janela_Baseline
316,17,497,388,4.49,0,316,1,Humano,Feliz,316,Janela_Baseline
333,17,499,371,4.46,0,333,1,Humano,Feliz,333,Janela_Baseline
349,17,486,364,4.48,0,349,1,Humano,Feliz,349,Janela_Baseline
366,17,502,360,4.46,0,366,1,Humano,Feliz,366,Janela_Baseline
383,17,496,362,4.48,0,383,1,Humano,Feliz,383,Janela_Baseline
399,17,496,355,4.48,0,399,1,Humano,Feliz,399,Janela_Baseline
416,17,474,385,4.44,0,416,1,Humano,Feliz,416,Janela_Baseline
433,17,437,425,4.49,0,433,1,Humano,Feliz,433,Janela_Baseline
449,17,428,429,4.54,0,449,1,Humano,Feliz,449,Janela_Baseline
466,17,449,401,4.44,0,466,1,Humano,Feliz,466,Janela_Baseline
482,17,445,409,4.52,0,482,1,Humano,Feliz,482,Janela_Baseline
499,17,443,405,4.44,0,499,1,Humano,Feliz,499,Janela_Baseline
516,17,443,417,4.48,0,516,1,Humano,Feliz,516,Janela_Baseline
532,17,445,435,4.52,0,532,1,Humano,Feliz,532,Janela_Baseline
549,17,447,422,4.54,0,549,1,Humano,Feliz,549,Janela_Baseline
566,17,447,416,4.51,0,566,1,Humano,Feliz,566,Janela_Baseline
582,17,436,432,4.54,0,582,1,Humano,Feliz,582,Janela_Baseline
599,17,446,439,4.48,0,599,1,Humano,Feliz,599,Janela_Baseline
615,17,441,420,4.49,0,615,1,Humano,Feliz,615,Janela_Baseline
632,17,447,421,4.49,0,632,1,Humano,Feliz,632,Janela_Baseline
649,17,445,425,4.49,0,649,1,Humano,Feliz,649,Janela_Baseline
665,17,453,440,4.56,0,665,1,Humano,Feliz,665,Janela_Baseline
682,17,453,429,4.59,0,682,1,Humano,Feliz,682,Janela_Baseline
699,17,457,426,4.6,0,699,1,Humano,Feliz,699,Janela_Baseline
715,17,445,435,4.52,0,715,1,Humano,Feliz,715,Janela_Baseline
732,17,428,430,4.54,0,732,1,Humano,Feliz,732,Janela_Baseline
749,17,450,438,4.56,0,749,1,Humano,Feliz,749,Janela_Baseline
765,17,450,416,4.56,0,765,1,Humano,Feliz,765,Janela_Baseline
782,17,424,435,4.59,0,782,1,Humano,Feliz,782,Janela_Baseline
798,17,421,438,4.57,0,798,1,Humano,Feliz,798,Janela_Baseline
815,17,437,438,4.56,0,815,1,Humano,Feliz,815,Janela_Baseline
832,17,433,436,4.56,0,832,1,Humano,Feliz,832,Janela_Baseline
848,17,456,430,4.59,0,848,1,Humano,Feliz,848,Janela_Baseline
865,17,461,430,4.59,0,865,1,Humano,Feliz,865,Janela_Baseline
882,17,443,437,4.52,0,882,1,Humano,Feliz,882,Janela_Baseline
898,17,447,441,4.64,0,898,1,Humano,Feliz,898,Janela_Baseline
915,17,462,436,4.65,0,915,1,Humano,Feliz,915,Janela_Baseline
932,17,442,423,4.51,0,932,1,Humano,Feliz,932,Janela_Baseline
948,17,453,452,4.52,0,948,1,Humano,Feliz,948,Janela_Baseline
965,17,443,427,4.57,0,965,1,Humano,Feliz,965,Janela_Baseline
981,17,440,436,4.59,0,981,1,Humano,Feliz,981,Janela_Baseline
998,17,437,437,4.59,0,998,1,Humano,Feliz,998,Janela_Baseline
