Time (ms),Timegap (ms),Gaze X,Gaze Y,Pupil_Size,AOI,Time_Normalized (ms),Face_ID,Tipo_Estimulo,Emocao,Tempo_Interno_Bloco,Fase_Estimulo
0,0,607,404,3.93,0,0,1,Humano,Feliz,0,Janela_Baseline
17,17,597,397,4.01,0,17,1,Humano,Feliz,17,Janela_Baseline
33,17,597,411,4.03,0,33,1,Humano,Feliz,33,Janela_Baseline
50,17,582,399,3.99,0,50,1,Humano,Feliz,50,Janela_Baseline
67,17,589,407,3.93,0,67,1,Humano,Feliz,67,Janela_Baseline
83,17,592,410,3.98,0,83,1,Humano,Feliz,83,Janela_Baseline
100,17,590,429,3.99,0,100,1,Humano,Feliz,100,Janela_Baseline
116,17,599,414,4.03,0,116,1,Humano,Feliz,116,Janela_Baseline
133,17,591,422,4.09,0,133,1,Humano,Feliz,133,Janela_Baseline
150,17,606,423,4.07,0,150,1,Humano,Feliz,150,Janela_Baseline
166,17,608,405,4.04,0,166,1,Humano,Feliz,166,Janela_Baseline
183,17,598,386,3.99,0,183,1,Humano,Feliz,183,Janela_Baseline
200,17,593,412,4.03,0,200,1,Humano,Feliz,200,Janela_Baseline
216,17,596,417,4.09,0,216,1,Humano,Feliz,216,Janela_Baseline
233,17,598,396,4.07,0,233,1,Humano,Feliz,233,Janela_Baseline
266,33,600,431,4.06,0,266,1,Humano,Feliz,266,Janela_Baseline
283,17,595,386,4.03,0,283,1,Humano,Feliz,283,Janela_Baseline
299,17,596,390,4.07,0,299,1,Humano,Feliz,299,Janela_Baseline
316,17,599,398,4.11,0,316,1,Humano,Feliz,316,Janela_Baseline
333,17,595,401,4.11,0,333,1,Humano,Feliz,333,Janela_Baseline
349,17,591,430,4.11,0,349,1,Humano,Feliz,349,Janela_Baseline
366,17,594,390,4.11,0,366,1,Humano,Feliz,366,Janela_Baseline
383,17,582,642,5.12,0,383,1,Humano,Feliz,383,Janela_Baseline
499,116,591,812,3.98,0,499,1,Humano,Feliz,499,Janela_Baseline
549,50,582,374,4.15,0,549,1,Humano,Feliz,549,Janela_Baseline
566,17,587,386,4.19,0,566,1,Humano,Feliz,566,Janela_Baseline
582,17,588,387,4.14,0,582,1,Humano,Feliz,582,Janela_Baseline
599,17,584,394,4.22,0,599,1,Humano,Feliz,599,Janela_Baseline
615,17,585,375,4.2,0,615,1,Humano,Feliz,615,Janela_Baseline
632,17,588,381,4.17,0,632,1,Humano,Feliz,632,Janela_Baseline
649,17,585,377,4.15,0,649,1,Humano,Feliz,649,Janela_Baseline
665,17,585,366,4.15,0,665,1,Humano,Feliz,665,Janela_Baseline
682,17,584,390,4.22,0,682,1,Humano,Feliz,682,Janela_Baseline
699,17,588,392,4.24,0,699,1,Humano,Feliz,699,Janela_Baseline
715,17,588,391,4.25,0,715,1,Humano,Feliz,715,Janela_Baseline
732,17,586,383,4.25,0,732,1,Humano,Feliz,732,Janela_Baseline
749,17,582,366,4.2,0,749,1,Humano,Feliz,749,Janela_Baseline
765,17,581,387,4.3,0,765,1,Humano,Feliz,765,Janela_Baseline
782,17,585,377,4.25,0,782,1,Humano,Feliz,782,Janela_Baseline
798,17,584,370,4.2,0,798,1,Humano,Feliz,798,Janela_Baseline
815,17,580,365,4.24,0,815,1,Humano,Feliz,815,Janela_Baseline
832,17,584,389,4.3,0,832,1,Humano,Feliz,832,Janela_Baseline
848,17,586,368,4.28,0,848,1,Humano,Feliz,848,Janela_Baseline
865,17,592,395,4.33,0,865,1,Humano,Feliz,865,Janela_Baseline
882,17,585,393,4.32,0,882,1,Humano,Feliz,882,Janela_Baseline
898,17,594,382,4.28,0,898,1,Humano,Feliz,898,Janela_Baseline
915,17,596,397,4.33,0,915,1,Humano,Feliz,915,Janela_Baseline
932,17,585,397,4.35,0,932,1,Humano,Feliz,932,Janela_Baseline
948,17,584,389,4.36,0,948,1,Humano,Feliz,948,Janela_Baseline
965,17,589,390,4.27,0,965,1,Humano,Feliz,965,Janela_Baseline
981,17,585,380,4.32,0,981,1,Humano,Feliz,981,Janela_Baseline
998,17,587,367,4.27,0,998,1,Humano,Feliz,998,Janela_Baseline
1015,17,585,400,4.36,0,1015,1,Humano,Feliz,1015,Janela_Baseline
1031,17,589,382,4.32,0,1031,1,Humano,Feliz,1031,Janela_Baseline
1048,17,587,381,4.33,0,1048,1,Humano,Feliz,1048,Janela_Baseline
1065,17,592,405,4.3,0,1065,1,Humano,Feliz,1065,Janela_Baseline
1081,17,597,401,4.36,0,1081,1,Humano,Feliz,1081,Janela_Baseline
1098,17,598,389,4.36,0,1098,1,Humano,Feliz,1098,Janela_Baseline
1115,17,586,416,4.4,0,1115,1,Humano,Feliz,1115,Exposicao_Face
1131,17,594,396,4.36,0,1131,1,Humano,Feliz,1131,Exposicao_Face
1148,17,603,382,4.38,0,1148,1,Humano,Feliz,1148,Exposicao_Face
1164,17,558,385,0.0,0,1164,1,Humano,Feliz,1164,Exposicao_Face
1181,17,549,378,0.0,0,1181,1,Humano,Feliz,1181,Exposicao_Face
1198,17,566,364,0.0,0,1198,1,Humano,Feliz,1198,Exposicao_Face
1214,17,557,363,0.0,0,1214,1,Humano,Feliz,1214,Exposicao_Face
1231,17,558,370,0.0,0,1231,1,Humano,Feliz,1231,Exposicao_Face
1248,17,555,372,0.0,0,1248,1,Humano,Feliz,1248,Exposicao_Face
1264,17,566,354,0.0,0,1264,1,Humano,Feliz,1264,Exposicao_Face
1281,17,539,390,0.0,0,1281,1,Humano,Feliz,1281,Exposicao_Face
1298,17,563,376,0.0,0,1298,1,Humano,Feliz,1298,Exposicao_Face
1314,17,565,363,0.0,0,1314,1,Humano,Feliz,1314,Exposicao_Face
1331,17,555,386,0.0,0,1331,1,Humano,Feliz,1331,Exposicao_Face
1347,17,570,374,4.32,0,1347,1,Humano,Feliz,1347,Exposicao_Face
1364,17,523,376,4.28,0,1364,1,Humano,Feliz,1364,Exposicao_Face
1381,17,519,376,4.17,0,1381,1,Humano,Feliz,1381,Exposicao_Face
1397,17,509,395,4.06,0,1397,1,Humano,Feliz,1397,Exposicao_Face
1414,17,506,369,3.96,0,1414,1,Humano,Feliz,1414,Exposicao_Face
1431,17,503,380,3.91,0,1431,1,Humano,Feliz,1431,Exposicao_Face
1447,17,513,362,3.77,0,1447,1,Humano,Feliz,1447,Exposicao_Face
1464,17,505,366,3.66,0,1464,1,Humano,Feliz,1464,Exposicao_Face
1481,17,506,356,3.58,0,1481,1,Humano,Feliz,1481,Exposicao_Face
1497,17,513,373,3.55,0,1497,1,Humano,Feliz,1497,Exposicao_Face
1514,17,511,362,3.48,0,1514,1,Humano,Feliz,1514,Exposicao_Face
1530,17,509,360,3.34,0,1530,1,Humano,Feliz,1530,Exposicao_Face
1547,17,509,359,3.32,0,1547,1,Humano,Feliz,1547,Exposicao_Face
1564,17,499,334,3.21,0,1564,1,Humano,Feliz,1564,Exposicao_Face
1580,17,510,353,3.13,0,1580,1,Humano,Feliz,1580,Exposicao_Face
1597,17,515,323,3.05,0,1597,1,Humano,Feliz,1597,Exposicao_Face
1614,17,500,346,3.0,0,1614,1,Humano,Feliz,1614,Exposicao_Face
1630,17,518,334,2.94,0,1630,1,Humano,Feliz,1630,Exposicao_Face
1647,17,521,341,2.92,0,1647,1,Humano,Feliz,1647,Exposicao_Face
1664,17,515,332,2.89,0,1664,1,Humano,Feliz,1664,Exposicao_Face
1713,50,512,344,2.81,0,1713,1,Humano,Feliz,1713,Exposicao_Face
1713,0,512,344,2.81,0,1713,1,Humano,Feliz,1713,Exposicao_Face
1730,17,517,281,2.74,0,1730,1,Humano,Feliz,1730,Exposicao_Face
1846,116,574,203,2.65,0,1846,1,Humano,Feliz,1846,Exposicao_Face
1863,17,574,267,2.63,0,1863,1,Humano,Feliz,1863,Exposicao_Face
1880,17,589,275,2.63,0,1880,1,Humano,Feliz,1880,Exposicao_Face
1896,17,587,281,2.58,0,1896,1,Humano,Feliz,1896,Exposicao_Face
1913,17,577,284,2.6,0,1913,1,Humano,Feliz,1913,Exposicao_Face
1930,17,587,278,2.58,0,1930,1,Humano,Feliz,1930,Exposicao_Face
1946,17,588,286,2.61,0,1946,1,Humano,Feliz,1946,Exposicao_Face
1963,17,587,283,2.57,0,1963,1,Humano,Feliz,1963,Exposicao_Face
1980,17,584,291,2.6,0,1980,1,Humano,Feliz,1980,Exposicao_Face
1996,17,584,270,2.57,0,1996,1,Humano,Feliz,1996,Exposicao_Face
2013,17,598,294,2.57,0,2013,1,Humano,Feliz,2013,Exposicao_Face
2029,17,608,295,2.6,0,2029,1,Humano,Feliz,2029,Exposicao_Face
2046,17,604,291,2.57,0,2046,1,Humano,Feliz,2046,Exposicao_Face
2063,17,609,305,2.57,0,2063,1,Humano,Feliz,2063,Exposicao_Face
2079,17,610,312,2.57,0,2079,1,Humano,Feliz,2079,Exposicao_Face
2096,17,606,329,2.57,0,2096,1,Humano,Feliz,2096,Exposicao_Face
2113,17,608,318,2.53,0,2113,1,Humano,Feliz,2113,Exposicao_Face
2129,17,593,323,2.53,0,2129,1,Humano,Feliz,2129,Exposicao_Face
2312,183,507,654,0.0,0,2312,1,Humano,Feliz,2312,Exposicao_Face
2329,17,542,294,2.47,0,2329,1,Humano,Feliz,2329,Exposicao_Face
2346,17,543,314,2.47,0,2346,1,Humano,Feliz,2346,Exposicao_Face
2362,17,550,337,2.52,0,2362,1,Humano,Feliz,2362,Exposicao_Face
2379,17,527,313,2.49,0,2379,1,Humano,Feliz,2379,Exposicao_Face
2395,17,537,312,2.52,0,2395,1,Humano,Feliz,2395,Exposicao_Face
2412,17,537,320,2.53,0,2412,1,Humano,Feliz,2412,Exposicao_Face
2429,17,532,332,2.55,0,2429,1,Humano,Feliz,2429,Exposicao_Face
2445,17,533,338,2.57,0,2445,1,Humano,Feliz,2445,Exposicao_Face
2462,17,540,339,2.52,0,2462,1,Humano,Feliz,2462,Exposicao_Face
2479,17,538,315,2.53,0,2479,1,Humano,Feliz,2479,Exposicao_Face
2495,17,538,351,2.61,0,2495,1,Humano,Feliz,2495,Exposicao_Face
2512,17,538,339,2.65,0,2512,1,Humano,Feliz,2512,Exposicao_Face
2529,17,545,335,2.63,0,2529,1,Humano,Feliz,2529,Exposicao_Face
2545,17,538,348,2.66,0,2545,1,Humano,Feliz,2545,Exposicao_Face
2562,17,537,358,2.73,0,2562,1,Humano,Feliz,2562,Exposicao_Face
2578,17,537,340,2.69,0,2578,1,Humano,Feliz,2578,Exposicao_Face
2595,17,533,351,2.76,0,2595,1,Humano,Feliz,2595,Exposicao_Face
2612,17,530,352,2.84,0,2612,1,Humano,Feliz,2612,Exposicao_Face
2628,17,529,348,2.82,0,2628,1,Humano,Feliz,2628,Exposicao_Face
2645,17,539,352,2.84,0,2645,1,Humano,Feliz,2645,Exposicao_Face
2662,17,537,378,2.94,0,2662,1,Humano,Feliz,2662,Exposicao_Face
2678,17,539,347,2.95,0,2678,1,Humano,Feliz,2678,Exposicao_Face
2695,17,536,372,3.02,0,2695,1,Humano,Feliz,2695,Exposicao_Face
2712,17,534,368,3.03,0,2712,1,Humano,Feliz,2712,Exposicao_Face
2728,17,535,358,3.06,0,2728,1,Humano,Feliz,2728,Exposicao_Face
2745,17,533,371,3.05,0,2745,1,Humano,Feliz,2745,Exposicao_Face
2761,17,532,368,3.1,0,2761,1,Humano,Feliz,2761,Exposicao_Face
2778,17,537,370,3.14,0,2778,1,Humano,Feliz,2778,Exposicao_Face
2795,17,539,337,3.1,0,2795,1,Humano,Feliz,2795,Exposicao_Face
2811,17,537,360,3.14,0,2811,1,Humano,Feliz,2811,Exposicao_Face
2828,17,535,362,3.16,0,2828,1,Humano,Feliz,2828,Exposicao_Face
2845,17,537,372,3.24,0,2845,1,Humano,Feliz,2845,Exposicao_Face
2861,17,537,348,3.18,0,2861,1,Humano,Feliz,2861,Exposicao_Face
2878,17,533,380,3.29,0,2878,1,Humano,Feliz,2878,Exposicao_Face
2894,17,525,369,3.26,0,2894,1,Humano,Feliz,2894,Exposicao_Face
2911,17,528,381,3.22,0,2911,1,Humano,Feliz,2911,Exposicao_Face
2928,17,526,374,3.27,0,2928,1,Humano,Feliz,2928,Exposicao_Face
2944,17,528,403,3.34,0,2944,1,Humano,Feliz,2944,Exposicao_Face
2961,17,530,369,3.34,0,2961,1,Humano,Feliz,2961,Exposicao_Face
2978,17,535,378,3.34,0,2978,1,Humano,Feliz,2978,Exposicao_Face
3127,150,490,374,3.38,2,3127,1,Humano,Feliz,3127,Exposicao_Face
3144,17,474,7,3.48,1,3144,1,Humano,Feliz,3144,Exposicao_Face
3161,17,484,388,3.59,2,3161,1,Humano,Feliz,3161,Exposicao_Face
3177,17,491,371,3.58,2,3177,1,Humano,Feliz,3177,Exposicao_Face
3194,17,490,360,3.56,4,3194,1,Humano,Feliz,3194,Exposicao_Face
3211,17,492,388,3.58,2,3211,1,Humano,Feliz,3211,Exposicao_Face
3227,17,486,381,3.56,2,3227,1,Humano,Feliz,3227,Exposicao_Face
