Time_ms,Gaze_X,Gaze_Y,Pupil_L,Pupil_R,Face_ID,Tipo_Estimulo,Emocao,Fase_Estimulo,AOI_Olho_Esquerdo,AOI_Olho_Direito,AOI_Ambos_Olhos,AOI_Nariz,AOI_Boca,AOI_Triangulo,AOI_Rosto,AOI_Fora
0,587,426,5.23,5.02,0,Nenhum,Nenhuma,Descarte,True,False,True,False,False,True,True,False
17,587,439,5.25,5.02,0,Nenhum,Nenhuma,Descarte,True,False,True,False,False,True,True,False
33,583,452,5.29,5.13,0,Nenhum,Nenhuma,Descarte,True,False,True,False,False,True,True,False
50,588,426,5.29,5.01,0,Nenhum,Nenhuma,Descarte,True,False,True,False,False,True,True,False
67,587,442,5.28,5.05,0,Nenhum,Nenhuma,Descarte,True,False,True,False,False,True,True,False
83,600,491,5.33,5.05,0,Nenhum,Nenhuma,Descarte,True,False,True,False,False,True,True,False
100,688,455,5.36,5.05,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
116,732,522,5.33,5.02,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,True,True,False
133,801,480,5.31,4.89,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
150,792,478,5.37,4.92,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
166,797,470,5.31,5.02,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
183,799,461,5.33,4.94,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
200,790,472,5.36,4.94,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
216,790,474,5.39,4.89,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
233,798,468,5.39,4.89,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
250,795,463,5.31,4.91,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
266,793,468,5.41,4.92,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
283,800,478,5.37,4.97,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
299,808,446,5.39,5.02,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
316,793,494,5.42,4.99,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
333,785,467,5.49,5.01,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
349,791,459,5.41,5.05,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
366,799,448,5.44,5.07,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
383,808,470,5.49,5.07,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
399,790,473,5.49,5.04,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
416,753,407,5.5,5.15,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
433,675,396,5.53,5.21,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
449,651,556,5.53,5.33,0,Nenhum,Nenhuma,Descarte,False,False,False,True,False,True,True,False
466,664,454,5.5,5.23,0,Nenhum,Nenhuma,Descarte,False,True,True,False,False,True,True,False
482,706,256,5.57,5.25,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
499,702,197,5.55,5.23,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
516,696,250,5.58,5.28,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
532,703,266,5.55,5.18,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
549,701,265,5.55,5.28,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
566,702,251,5.57,5.23,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
582,702,258,5.57,5.28,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
599,700,265,5.5,5.37,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
615,701,252,5.6,5.26,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
632,699,244,5.57,5.39,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
649,711,266,5.66,5.37,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
665,691,255,5.41,5.31,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
682,697,258,5.68,5.31,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
699,695,252,5.73,5.37,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
715,702,241,5.6,5.33,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
732,701,248,5.66,5.42,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
749,697,276,5.66,5.41,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
765,690,310,5.76,5.33,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
782,675,580,5.71,5.52,0,Nenhum,Nenhuma,Descarte,False,False,False,True,False,True,True,False
798,330,464,-1.0,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,False,False,True,False
932,511,717,-1.0,0.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
948,552,676,-1.0,-1.0,0,Nenhum,Nenhuma,Descarte,False,False,False,False,True,False,True,False
